"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_639","MALE","","SVK","2006","26.48800087"
"HFA_639","MALE","","SVK","2007","20.51499939"
"HFA_639","MALE","","SVK","2008","18.57699966"
"HFA_639","MALE","","SVK","2009","27.89100075"
"HFA_639","MALE","","SVK","2010","34.73899841"
"HFA_639","MALE","","SVK","2011","33.20299911"
"HFA_639","MALE","","SVK","2012","34.97800064"
"HFA_639","MALE","","SVK","2013","34.94499969"
"HFA_639","MALE","","SVK","2014","29.48200035"
"HFA_639","MALE","","SVK","2015","25.81800079"
"HFA_639","MALE","","SVK","2016","19.77099991"
"HFA_639","MALE","","SVK","2017","18.12599945"
"HFA_639","MALE","","SVK","2018","17.97599983"
"HFA_639","MALE","","SVK","2019","16.50099945"
"HFA_639","MALE","","SVN","1991","25.07799911"
"HFA_639","MALE","","SVN","1992","29.72500038"
"HFA_639","MALE","","SVN","1993","33.66500092"
"HFA_639","MALE","","SVN","1994","21.04000092"
"HFA_639","MALE","","SVN","1995","18.27300072"
"HFA_639","MALE","","SVN","1996","16.86000061"
"HFA_639","MALE","","SVN","1997","14.22000027"
"HFA_639","MALE","","SVN","1998","17.06500053"
"HFA_639","MALE","","SVN","1999","17.12800026"
"HFA_639","MALE","","SVN","2000","14.75899982"
"HFA_639","MALE","","SVN","2001","14.99800014"
"HFA_639","MALE","","SVN","2002","13.55900002"
"HFA_639","MALE","","SVN","2003","13.13599968"
"HFA_639","MALE","","SVN","2004","11.23400021"
"HFA_639","MALE","","SVN","2005","14.55000019"
"HFA_639","MALE","","SVN","2006","11.63099957"
"HFA_639","MALE","","SVN","2007","9.3739996"
"HFA_639","MALE","","SVN","2008","9.9460001"
"HFA_639","MALE","","SVN","2009","13.90600014"
"HFA_639","MALE","","SVN","2010","15.3760004"
"HFA_639","MALE","","SVN","2011","15.07699966"
"HFA_639","MALE","","SVN","2012","20.4489994"
"HFA_639","MALE","","SVN","2013","20.16600037"
"HFA_639","MALE","","SVN","2014","19.41600037"
"HFA_639","MALE","","SVN","2015","17.61700058"
"HFA_639","MALE","","SVN","2016","15.63399982"
"HFA_639","MALE","","SVN","2017","9.92800045"
"HFA_639","MALE","","SVN","2018","8.79100037"
"HFA_639","MALE","","SVN","2019","9.78800011"
"HFA_639","MALE","","SWE","1991","8.38700008"
"HFA_639","MALE","","SWE","1992","15.9829998"
"HFA_639","MALE","","SWE","1993","25.77000046"
"HFA_639","MALE","","SWE","1994","24.98200035"
"HFA_639","MALE","","SWE","1995","20.48200035"
"HFA_639","MALE","","SWE","1996","22.03899956"
"HFA_639","MALE","","SWE","1997","22.22500038"
"HFA_639","MALE","","SWE","1998","17.84600067"
"HFA_639","MALE","","SWE","1999","16.7329998"
"HFA_639","MALE","","SWE","2000","10.59500027"
"HFA_639","MALE","","SWE","2001","12.68200016"
